[2025-10-06 09:13:29.253 +07:00 INF] Starting OrderFood_SW web host...
[2025-10-06 09:13:29.933 +07:00 INF] Application started. Press Ctrl+C to shut down.
[2025-10-06 09:13:29.935 +07:00 INF] Hosting environment: Development
[2025-10-06 09:13:29.936 +07:00 INF] Content root path: D:\workspace\C#\SW_Web\OrderFood_SW\OrderFood_SW
[2025-10-06 09:13:31.233 +07:00 WRN] Failed to determine the https port for redirect.
[2025-10-06 09:13:34.057 +07:00 INF] HTTP GET / responded 302 in 2829.8189 ms
[2025-10-06 09:13:36.419 +07:00 INF] HTTP GET /Account/Login responded 200 in 2287.0483 ms
[2025-10-06 09:13:36.587 +07:00 INF] HTTP GET /js/Login.js responded 404 in 6.6536 ms
[2025-10-06 09:13:36.592 +07:00 INF] HTTP GET /css/user-login.css responded 200 in 10.1625 ms
[2025-10-06 09:13:38.302 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 302 in 1.9448 ms
[2025-10-06 09:13:42.877 +07:00 WRN] No store type was specified for the decimal property 'DishPrice' on entity type 'Dish'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 09:13:42.879 +07:00 WRN] No store type was specified for the decimal property 'TotalAmount' on entity type 'Order'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 09:13:47.419 +07:00 INF] HTTP POST /Account/Login responded 302 in 6561.0978 ms
[2025-10-06 09:13:48.044 +07:00 INF] HTTP GET /Home responded 200 in 607.4880 ms
[2025-10-06 09:13:48.214 +07:00 INF] HTTP GET /images/Users/2511e59d-5ec1-4cc6-ba91-7bdbc20f7b64.png responded 304 in 2.2657 ms
[2025-10-06 09:13:48.218 +07:00 INF] HTTP GET /themes/bower_components/font-awesome/css/font-awesome.min.css responded 200 in 66.9391 ms
[2025-10-06 09:13:48.218 +07:00 INF] HTTP GET /themes/dist/css/skins/_all-skins.min.css responded 200 in 54.6648 ms
[2025-10-06 09:13:48.227 +07:00 INF] HTTP GET /themes/dist/css/AdminLTE.min.css responded 200 in 73.5422 ms
[2025-10-06 09:13:48.227 +07:00 INF] HTTP GET /themes/bower_components/bootstrap/dist/css/bootstrap.min.css responded 200 in 83.5910 ms
[2025-10-06 09:13:48.235 +07:00 INF] HTTP GET /themes/bower_components/Ionicons/css/ionicons.min.css responded 200 in 75.2644 ms
[2025-10-06 09:13:48.485 +07:00 INF] HTTP GET /themes/bower_components/bootstrap/dist/js/bootstrap.min.js responded 200 in 247.5910 ms
[2025-10-06 09:13:48.522 +07:00 INF] HTTP GET /themes/bower_components/fastclick/lib/fastclick.js responded 200 in 277.3390 ms
[2025-10-06 09:13:48.528 +07:00 INF] HTTP GET /themes/bower_components/jquery-slimscroll/jquery.slimscroll.min.js responded 200 in 290.4880 ms
[2025-10-06 09:13:48.535 +07:00 INF] HTTP GET /themes/dist/js/adminlte.min.js responded 200 in 283.2856 ms
[2025-10-06 09:13:48.619 +07:00 INF] HTTP GET /themes/dist/js/demo.js responded 200 in 132.8841 ms
[2025-10-06 09:13:48.622 +07:00 INF] HTTP GET /themes/bower_components/jquery/dist/jquery.min.js responded 200 in 384.5830 ms
[2025-10-06 09:13:50.284 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 2.4508 ms
[2025-10-06 09:16:10.672 +07:00 INF] HTTP GET /Order responded 200 in 237.7768 ms
[2025-10-06 09:16:12.348 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 2.7473 ms
[2025-10-06 09:16:16.041 +07:00 INF] HTTP GET /Order/Create responded 200 in 503.1586 ms
